City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Popondetta,PG,88.61,overcast clouds,-8.7537,148.2534,Timos Transit House
210,Lake Havasu City,US,81.21,clear sky,34.4839,-114.3224,Heat Hotel
211,Baracoa,CU,77.74,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
212,Tezu,IN,88.09,few clouds,27.9167,96.1667,Circuit House
214,Kavaratti,IN,81.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
215,Acapulco,MX,80.55,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
217,Zhuhai,CN,75.7,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
224,Harper,LR,77.47,light rain,4.375,-7.7169,Screensaver
225,Khipro,PK,83.17,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
226,Kieta,PG,85.33,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
238,Naze,JP,77.92,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
239,Port Blair,IN,83.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
240,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
241,Sawtell,AU,76.19,broken clouds,-30.3833,153.1,Island Beach House Sawtell
250,Gorontalo,ID,89.44,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
257,Tete,MZ,83.7,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
260,Namatanai,PG,85.89,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
261,Turan,VN,82.38,broken clouds,16.0678,108.2208,Sun River Hotel
262,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
264,Puri,IN,79.32,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
265,Road Town,VG,81.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
274,Atar,MR,85.64,overcast clouds,20.5169,-13.0499,Oumou Elghoura
278,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
280,Longyan,CN,75.4,broken clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
281,Bandarbeyla,SO,75.9,few clouds,9.4942,50.8122,JABIR HOTEL
288,Catuday,PH,84.29,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
289,Pocone,BR,79.39,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
291,Abeche,TD,78.19,few clouds,13.8292,20.8324,Assaleh Hamdan Haroune
301,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
304,Butaritari,KI,81.75,few clouds,3.0707,172.7902,Isles Sunset Lodge
310,Nova Olimpia,BR,77.2,overcast clouds,-14.7972,-57.2881,Motel glamour
316,Pucallpa,PE,75.24,broken clouds,-8.3791,-74.5539,Hospedaje Komby
320,Buala,SB,86.18,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
321,Thinadhoo,MV,82.58,overcast clouds,0.5333,72.9333,
323,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
325,Camocim,BR,79.38,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
332,Salaga,GH,76.77,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
336,Tando Jam,PK,83.48,clear sky,25.4272,68.5362,Sindh Civil Services and Local Government Training Center Hostel
338,Todos Santos,MX,81.19,clear sky,23.45,-110.2167,Hotel California Todos Santos
342,Paka,MY,87.73,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
344,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
348,Tual,ID,83.93,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
349,Jakarta,ID,86.09,haze,-6.2146,106.8451,HARRIS Hotel Tebet
353,Kuliyapitiya,LK,83.64,broken clouds,7.4688,80.0401,Rest House
363,San,ML,81.84,overcast clouds,13.3034,-4.8956,Hôtel Teriya
