City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Mahajanga,MG,-15.7167,46.3167,71.62,73,20,3.44,few clouds
161,Kiruna,SE,67.8557,20.2251,29.32,74,98,9.22,overcast clouds
162,Dingle,PH,10.9995,122.6711,86.13,73,31,9.51,scattered clouds
163,Zhaotong,CN,27.3167,103.7167,50.7,91,100,1.88,overcast clouds
164,Waingapu,ID,-9.6567,120.2641,87.8,63,73,11.74,broken clouds
165,Samarai,PG,-10.6167,150.6667,84.43,73,94,14.76,overcast clouds
166,Dukat,RU,62.55,155.55,1.92,89,100,12.91,overcast clouds
167,Chuy,UY,-33.6971,-53.4616,49.86,78,49,5.95,scattered clouds
168,Paita,PE,-5.0892,-81.1144,65.14,85,79,11.23,broken clouds
169,Bosobolo,CD,4.1833,19.9,70.09,99,100,0.27,moderate rain
170,Mount Gambier,AU,-37.8333,140.7667,60.66,55,19,10.0,few clouds
171,Saint-Pierre,RE,-21.3393,55.4781,74.88,60,0,3.44,clear sky
172,Cobija,BO,-11.0267,-68.7692,74.03,81,11,1.88,few clouds
173,Ixtapa,MX,20.7,-105.2,76.55,95,32,2.3,scattered clouds
174,Norman Wells,CA,65.282,-126.8329,28.44,93,90,2.3,light snow
175,Asyut,EG,27.181,31.1837,71.92,38,81,6.51,broken clouds
176,Kavieng,PG,-2.5744,150.7967,85.91,65,75,13.15,broken clouds
177,Rio Grande,BR,-32.035,-52.0986,50.95,72,0,6.11,clear sky
178,Luanda,AO,-8.8368,13.2343,73.4,88,75,5.75,broken clouds
179,Thompson,CA,55.7435,-97.8558,44.76,70,75,3.44,broken clouds
180,Oistins,BB,13.0667,-59.5333,80.69,83,40,8.05,scattered clouds
181,Victoria,HK,22.2855,114.1577,77.25,69,81,1.01,broken clouds
182,Rocha,UY,-34.4833,-54.3333,47.68,78,100,5.99,overcast clouds
183,Tavda,RU,58.0425,65.2726,37.29,78,100,7.07,overcast clouds
184,Bilma,NE,18.6853,12.9164,80.64,28,60,6.82,broken clouds
185,Padang,ID,-0.9492,100.3543,82.45,72,100,1.63,overcast clouds
186,Caravelas,BR,-17.7125,-39.2481,73.94,88,17,5.03,few clouds
187,Sola,VU,-13.8833,167.55,88.47,74,75,8.05,broken clouds
188,Teya,RU,60.3778,92.6267,37.38,85,100,4.5,overcast clouds
189,Saldanha,ZA,-33.0117,17.9442,46.45,72,0,14.58,clear sky
190,Port Hawkesbury,CA,45.6169,-61.3485,61.92,99,90,15.01,light rain
191,Bartica,GY,6.4,-58.6167,75.52,93,89,2.39,overcast clouds
192,Gat,IL,31.61,34.7642,68.68,78,75,2.06,broken clouds
193,Ucluelet,CA,48.9329,-125.5528,51.1,87,73,5.26,broken clouds
194,Cherdyn,RU,60.403,56.4787,41.5,87,100,9.71,overcast clouds
195,Saskylakh,RU,71.9167,114.0833,18.28,95,100,8.48,overcast clouds
196,Basco,PH,20.4487,121.9702,80.53,76,95,26.08,overcast clouds
197,Koutiala,ML,12.3917,-5.4642,79.21,36,84,6.67,broken clouds
198,Gannan,CN,47.9147,123.5031,38.26,31,1,9.06,clear sky
199,Clyde River,CA,70.4692,-68.5914,28.98,80,100,14.88,overcast clouds
200,Almaznyy,RU,48.0448,40.045,42.94,72,46,7.27,scattered clouds
201,Zhigansk,RU,66.7697,123.3711,18.79,89,100,20.67,overcast clouds
202,Diffa,NE,13.3154,12.6113,83.03,52,34,2.33,scattered clouds
203,Kisiwani,TZ,-4.1333,37.95,68.58,89,97,1.99,overcast clouds
204,La Primavera,CO,5.4906,-70.4092,76.91,87,100,2.37,overcast clouds
205,Georgetown,MY,5.4112,100.3354,86.9,72,99,0.0,overcast clouds
206,Aykhal,RU,66.0,111.5,32.92,98,100,21.56,snow
207,Daru,PG,-9.0763,143.2092,86.94,65,49,8.34,scattered clouds
208,Popondetta,PG,-8.7537,148.2534,88.61,58,97,4.27,overcast clouds
209,Chimore,BO,-16.9833,-65.1333,71.94,69,68,3.13,broken clouds
210,Lake Havasu City,US,34.4839,-114.3224,81.21,13,1,1.01,clear sky
211,Baracoa,CU,20.3467,-74.4958,77.74,87,26,2.98,scattered clouds
212,Tezu,IN,27.9167,96.1667,88.09,49,11,2.77,few clouds
213,Chokurdakh,RU,70.6333,147.9167,-5.19,100,89,2.42,overcast clouds
214,Kavaratti,IN,10.5669,72.642,81.91,77,100,14.88,overcast clouds
215,Acapulco,MX,16.8634,-99.8901,80.55,84,81,5.86,broken clouds
216,Ouesso,CG,1.6136,16.0517,71.65,89,100,1.41,overcast clouds
217,Zhuhai,CN,22.2769,113.5678,75.7,73,0,18.41,clear sky
218,Buta,CD,2.7858,24.73,69.28,100,100,0.63,light rain
219,Washington,US,47.5001,-120.5015,55.89,63,100,4.34,overcast clouds
220,Sosnogorsk,RU,63.6023,53.8817,37.47,77,79,10.83,broken clouds
221,Alekseyevka,RU,50.6309,38.6903,39.9,88,53,6.35,broken clouds
222,Benguela,AO,-12.5763,13.4055,72.28,82,7,1.5,clear sky
223,Marsaxlokk,MT,35.8419,14.5431,59.61,88,20,1.14,few clouds
224,Harper,LR,4.375,-7.7169,77.47,89,72,8.01,light rain
225,Khipro,PK,25.8285,69.3772,83.17,12,0,5.91,clear sky
226,Kieta,PG,-6.2167,155.6333,85.33,62,85,5.37,overcast clouds
227,Tasiilaq,GL,65.6145,-37.6368,26.76,43,70,15.19,broken clouds
228,Ayabaca,PE,-4.6398,-79.7149,49.91,91,98,0.78,light rain
229,Lima,PE,-12.0432,-77.0282,61.9,85,40,10.36,scattered clouds
230,Candido De Abreu,BR,-24.5669,-51.3333,63.07,99,100,3.09,overcast clouds
231,Clinton,US,42.587,-82.9199,54.09,68,1,3.0,clear sky
232,Shetpe,KZ,44.1667,52.1167,52.25,28,100,9.37,overcast clouds
233,San Cristobal,VE,7.7669,-72.225,71.78,88,100,1.34,overcast clouds
234,Ponte De Sor,PT,39.2496,-8.0101,63.72,92,100,2.13,overcast clouds
235,Husum,DE,54.4858,9.0524,55.36,93,100,14.03,overcast clouds
236,Ahar,IR,38.4774,47.0699,49.51,43,4,5.32,clear sky
237,Longyearbyen,SJ,78.2186,15.6401,11.75,88,24,2.04,few clouds
238,Naze,JP,28.3667,129.4833,77.92,54,100,12.01,overcast clouds
239,Port Blair,IN,11.6667,92.75,83.48,77,94,11.39,overcast clouds
240,Cockburn Town,TC,21.4612,-71.1419,82.36,75,39,6.26,scattered clouds
241,Sawtell,AU,-30.3833,153.1,76.19,64,80,21.85,broken clouds
242,Beboto,TD,8.2668,16.939,70.43,97,97,3.78,overcast clouds
243,Constitucion,CL,-35.3333,-72.4167,52.63,74,0,7.67,clear sky
244,Eldorado,BR,-23.7869,-54.2836,65.08,93,100,3.22,overcast clouds
245,Passo De Camaragibe,BR,-9.2368,-35.4901,74.75,90,91,3.0,overcast clouds
246,Mimongo,GA,-1.6195,11.6068,69.06,99,99,1.97,overcast clouds
247,Flin Flon,CA,54.7682,-101.865,46.63,70,100,4.88,overcast clouds
248,Olafsvik,IS,64.8945,-23.7142,36.95,94,100,25.43,light rain
249,La Ronge,CA,55.1001,-105.2842,43.05,70,1,3.44,clear sky
250,Gorontalo,ID,0.5412,123.0595,89.44,61,26,4.0,scattered clouds
251,Khani,GE,41.9563,42.9566,51.37,98,100,1.95,overcast clouds
252,Margate,GB,51.3813,1.3862,56.91,83,100,1.99,overcast clouds
253,Haines Junction,CA,60.7522,-137.5108,22.95,80,100,2.3,overcast clouds
254,Severo-Yeniseyskiy,RU,60.3725,93.0408,33.98,85,100,4.32,overcast clouds
255,Hamilton,US,39.1834,-84.5333,54.36,80,1,0.0,clear sky
256,Tahta,EG,26.7693,31.5021,73.33,37,78,7.36,broken clouds
257,Tete,MZ,-16.1564,33.5867,83.7,41,1,5.41,clear sky
258,Hagere Hiywet,ET,8.9833,37.85,51.17,58,0,3.85,clear sky
259,Lebu,CL,-37.6167,-73.65,50.0,88,0,17.94,clear sky
260,Namatanai,PG,-3.6667,152.4333,85.89,65,64,8.68,broken clouds
261,Turan,VN,16.0678,108.2208,82.38,83,75,3.44,broken clouds
262,Mahebourg,MU,-20.4081,57.7,75.25,73,40,14.97,scattered clouds
263,Antofagasta,CL,-23.65,-70.4,56.48,74,46,4.52,scattered clouds
264,Puri,IN,19.8,85.85,79.32,78,79,13.76,moderate rain
265,Road Town,VG,18.4167,-64.6167,81.19,71,8,1.81,clear sky
266,New Norfolk,AU,-42.7826,147.0587,63.66,51,98,7.0,light rain
267,Abu Samrah,SY,35.3029,37.1841,62.64,72,6,11.54,clear sky
268,Faya,SA,18.3851,42.4509,59.11,25,23,4.94,few clouds
269,Iqaluit,CA,63.7506,-68.5145,33.53,86,75,17.0,broken clouds
270,Santander,ES,43.4647,-3.8044,60.98,92,100,2.3,overcast clouds
271,Novyye Burasy,RU,52.1324,46.0714,47.82,84,99,1.88,overcast clouds
272,Aksu,CN,41.1231,80.2644,56.03,20,100,4.59,overcast clouds
273,San Quintin,MX,30.4833,-115.95,64.22,82,0,8.9,clear sky
274,Atar,MR,20.5169,-13.0499,85.64,11,100,3.04,overcast clouds
275,Excelsior Springs,US,39.3392,-94.2261,60.76,81,0,6.78,clear sky
276,Marsa Matruh,EG,31.3525,27.2453,69.28,66,0,7.07,clear sky
277,Paragominas,BR,-2.9667,-47.4833,72.37,95,21,3.11,few clouds
278,Alofi,NU,-19.0595,-169.9187,80.49,74,23,16.11,few clouds
279,Murgab,TM,37.4966,61.9714,42.67,52,0,4.61,clear sky
280,Longyan,CN,25.1072,117.0225,75.4,60,66,1.57,broken clouds
281,Bandarbeyla,SO,9.4942,50.8122,75.9,88,24,12.01,few clouds
282,Lagoa,PT,39.05,-27.9833,69.01,84,1,17.63,clear sky
283,Flagstaff,US,35.1981,-111.6513,55.06,49,1,1.99,clear sky
284,Copperas Cove,US,31.1241,-97.9031,60.08,58,75,0.0,broken clouds
285,Qasigiannguit,GL,68.8193,-51.1922,17.85,59,0,9.57,clear sky
286,Kodiak,US,57.79,-152.4072,41.04,97,100,32.1,moderate rain
287,Talakan,RU,50.3167,130.3667,31.46,29,2,6.82,clear sky
288,Catuday,PH,16.2923,119.8062,84.29,66,51,7.67,broken clouds
289,Pocone,BR,-16.2567,-56.6228,79.39,63,100,1.36,overcast clouds
290,Sandy Bay,AU,-42.913,147.3532,64.06,69,75,1.01,light rain
291,Abeche,TD,13.8292,20.8324,78.19,31,23,8.55,few clouds
292,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,94,0,5.75,clear sky
293,Fort Walton Beach,US,30.4058,-86.6188,65.98,65,1,5.01,clear sky
294,Kyshtovka,RU,56.555,76.6271,39.47,87,35,5.68,scattered clouds
295,Mao,ES,39.8885,4.2658,61.36,77,0,4.61,clear sky
296,Tanggulangin,ID,-7.4996,112.6999,91.36,58,20,11.5,few clouds
297,Tracy,US,37.7397,-121.4252,59.2,67,5,8.99,clear sky
298,Launceston,AU,-41.45,147.1667,58.6,76,75,5.01,broken clouds
299,Camacha,PT,33.0833,-16.3333,67.42,83,20,5.75,few clouds
300,Ayan,RU,56.45,138.1667,27.68,42,24,18.12,few clouds
301,Pitimbu,BR,-7.4706,-34.8086,77.59,82,95,9.01,overcast clouds
302,Dolores,AR,-36.3132,-57.6792,48.18,97,76,3.47,broken clouds
303,Lata,PT,40.1629,-8.3327,66.04,95,100,2.13,overcast clouds
304,Butaritari,KI,3.0707,172.7902,81.75,71,24,10.6,few clouds
305,Alta Floresta,BR,-9.8756,-56.0861,69.94,98,98,0.89,overcast clouds
306,Talnakh,RU,69.4865,88.3972,34.14,99,100,9.6,light rain
307,Tucuman,AR,-26.8241,-65.2226,69.8,49,90,0.0,overcast clouds
308,Batagay-Alyta,RU,67.8006,130.4114,3.27,71,58,2.93,broken clouds
309,Corpus Christi,US,27.8006,-97.3964,71.6,62,75,5.99,broken clouds
310,Nova Olimpia,BR,-14.7972,-57.2881,77.2,76,95,1.63,overcast clouds
